title,price,link,released
Grand Theft Auto V,,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_151_150_1,"13 Apr, 2015"
Grand Theft Auto,,https://store.steampowered.com/app/12170/Grand_Theft_Auto/?snr=1_7_7_151_150_1,"4 Jan, 2008"
Grand Theft Auto 2,,https://store.steampowered.com/app/12180/Grand_Theft_Auto_2/?snr=1_7_7_151_150_1,"4 Jan, 2008"
Grand Theft Auto IV: Complete Edition,,https://store.steampowered.com/app/901583/Grand_Theft_Auto_IV_Complete_Edition/?snr=1_7_7_151_150_1,
Grand Theft Auto V: Premium Edition,Rp 240 600,https://store.steampowered.com/bundle/5699/Grand_Theft_Auto_V_Premium_Edition/?snr=1_7_7_151_150_1,
Grand Theft Auto IV: The Complete Edition,Rp 210 000,https://store.steampowered.com/app/12210/Grand_Theft_Auto_IV_The_Complete_Edition/?snr=1_7_7_151_150_1,"24 Mar, 2020"
GTA Online: Shark Cash Cards,,https://store.steampowered.com/app/376850/GTA_Online_Shark_Cash_Cards/?snr=1_7_7_151_150_1,"9 Jun, 2015"
Grand Theft Auto: Episodes from Liberty City,,https://store.steampowered.com/app/12220/Grand_Theft_Auto_Episodes_from_Liberty_City/?snr=1_7_7_151_150_1,"12 Apr, 2010"
Grand Theft Auto V - Criminal Enterprise Starter Pack,Rp 111 000,https://store.steampowered.com/app/771300/Grand_Theft_Auto_V__Criminal_Enterprise_Starter_Pack/?snr=1_7_7_151_150_1,"14 Dec, 2017"
Grand Theft Auto V: Premium Edition & Megalodon Shark Card Bundle,Rp 722 790,https://store.steampowered.com/bundle/5702/Grand_Theft_Auto_V_Premium_Edition__Megalodon_Shark_Card_Bundle/?snr=1_7_7_151_150_1,
Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,Rp 376 640,https://store.steampowered.com/bundle/5700/Grand_Theft_Auto_V_Premium_Edition__Great_White_Shark_Card_Bundle/?snr=1_7_7_151_150_1,
Grand Theft Auto V: Premium Edition & Whale Shark Card Bundle,Rp 434 500,https://store.steampowered.com/bundle/5701/Grand_Theft_Auto_V_Premium_Edition__Whale_Shark_Card_Bundle/?snr=1_7_7_151_150_1,
Need for Speed™ Unbound,Rp 759 000,https://store.steampowered.com/app/1846380/Need_for_Speed_Unbound/?snr=1_7_7_151_150_1,"2 Dec, 2022"
Assetto Corsa - Dream Pack 1,Rp 52 999,https://store.steampowered.com/app/347990/Assetto_Corsa__Dream_Pack_1/?snr=1_7_7_151_150_1,"11 Mar, 2015"
Red Dead Online,Rp 279 000,https://store.steampowered.com/app/1404210/Red_Dead_Online/?snr=1_7_7_151_150_1,"1 Dec, 2020"
Streets of Rogue 2,,https://store.steampowered.com/app/2165810/Streets_of_Rogue_2/?snr=1_7_7_151_150_1,2023
Skater XL - The Ultimate Skateboarding Game,Rp 169 999,https://store.steampowered.com/app/962730/Skater_XL__The_Ultimate_Skateboarding_Game/?snr=1_7_7_151_150_1,"28 Jul, 2020"
"Warhammer 40,000: Dawn of War III",Rp 354 999,https://store.steampowered.com/app/285190/Warhammer_40000_Dawn_of_War_III/?snr=1_7_7_151_150_1,"27 Apr, 2017"
Rustler (Grand Theft Horse),Rp 119 999,https://store.steampowered.com/app/844260/Rustler_Grand_Theft_Horse/?snr=1_7_7_151_150_1,"31 Aug, 2021"
Tokyo 42,Rp 108 999,https://store.steampowered.com/app/490450/Tokyo_42/?snr=1_7_7_151_150_1,"31 May, 2017"
Gene Shift Auto,,https://store.steampowered.com/app/308600/Gene_Shift_Auto/?snr=1_7_7_151_150_1,"23 May, 2017"
American Fugitive,Rp 108 999,https://store.steampowered.com/app/934780/American_Fugitive/?snr=1_7_7_151_150_1,"21 May, 2019"
BROKE PROTOCOL: Online City RPG,Rp 39 999,https://store.steampowered.com/app/696370/BROKE_PROTOCOL_Online_City_RPG/?snr=1_7_7_151_150_1,"26 Aug, 2017"
Amazing Frog?,Rp 99 999,https://store.steampowered.com/app/332570/Amazing_Frog/?snr=1_7_7_151_150_1,"21 Nov, 2014"
Death Coming/死神来了,Rp 59 999,https://store.steampowered.com/app/705120/Death_Coming/?snr=1_7_7_151_150_1,"6 Nov, 2017"
Howard Phillips Lovecar,Rp 17 499,https://store.steampowered.com/app/644370/Howard_Phillips_Lovecar/?snr=1_7_7_151_150_1,"1 Oct, 2018"
3dSunshine,Free,https://store.steampowered.com/app/513760/3dSunshine/?snr=1_7_7_151_150_1,"1 Nov, 2016"
MiLE HiGH TAXi,,https://store.steampowered.com/app/1366560/MiLE_HiGH_TAXi/?snr=1_7_7_151_150_1,🎮 Coming Soon! 🎮
Descent: FreeSpace – The Great War,Rp 89 999,https://store.steampowered.com/app/273600/Descent_FreeSpace__The_Great_War/?snr=1_7_7_151_150_1,"7 May, 2014"
APB Reloaded,Free to Play,https://store.steampowered.com/app/113400/APB_Reloaded/?snr=1_7_7_151_150_1,"6 Dec, 2011"
Flying Hero VR,Rp 69 999,https://store.steampowered.com/app/1314300/Flying_Hero_VR/?snr=1_7_7_151_150_1,"6 Nov, 2020"
Lazaretto,Rp 52 999,https://store.steampowered.com/app/628350/Lazaretto/?snr=1_7_7_151_150_1,"19 May, 2017"
Dead End Job,Rp 102 999,https://store.steampowered.com/app/827610/Dead_End_Job/?snr=1_7_7_151_150_1,"13 Dec, 2019"
Purrfect Date - Visual Novel/Dating Simulator,Rp 69 999,https://store.steampowered.com/app/520600/Purrfect_Date__Visual_NovelDating_Simulator/?snr=1_7_7_151_150_1,"15 Dec, 2017"
Maniac,,https://store.steampowered.com/app/1482380/Maniac/?snr=1_7_7_151_150_1,Coming soon
Flying Hero X,Rp 69 999,https://store.steampowered.com/app/1461040/Flying_Hero_X/?snr=1_7_7_151_150_1,"18 Dec, 2020"
Carmageddon Max Pack,Rp 89 999,https://store.steampowered.com/app/282010/Carmageddon_Max_Pack/?snr=1_7_7_151_150_1,"30 Jun, 1997"
Gaia Beyond,Rp 95 999,https://store.steampowered.com/app/788630/Gaia_Beyond/?snr=1_7_7_151_150_1,"20 Aug, 2020"
Streatham Hill Stories,Rp 39 999,https://store.steampowered.com/app/1423980/Streatham_Hill_Stories/?snr=1_7_7_151_150_1,"23 Oct, 2020"
Metrocide,Rp 83 999,https://store.steampowered.com/app/313130/Metrocide/?snr=1_7_7_151_150_1,"15 Dec, 2014"
CS2D,Free To Play,https://store.steampowered.com/app/666220/CS2D/?snr=1_7_7_151_150_1,"15 Nov, 2017"
Need for Drive - Open World Multiplayer Racing,Rp 37 999Rp 3 799,https://store.steampowered.com/app/1531720/Need_for_Drive__Open_World_Multiplayer_Racing/?snr=1_7_7_151_150_1,"17 Feb, 2021"
Carmageddon 2: Carpocalypse Now,Rp 89 999,https://store.steampowered.com/app/282030/Carmageddon_2_Carpocalypse_Now/?snr=1_7_7_151_150_1,"19 Sep, 2014"
Lawyer Guy: Defender of Justice,Free,https://store.steampowered.com/app/1451110/Lawyer_Guy_Defender_of_Justice/?snr=1_7_7_151_150_1,"6 Nov, 2020"
Amazing Frog? V3,Rp 139 999,https://store.steampowered.com/app/1559680/Amazing_Frog_V3/?snr=1_7_7_151_150_1,"16 Jun, 2022"
AirShooShoo,,https://store.steampowered.com/app/1989960/AirShooShoo/?snr=1_7_7_151_150_1,"3 Jul, 2023"
Rock 'N' Roll Defense,Rp 24 640Rp 4 849,https://store.steampowered.com/app/438480/Rock_N_Roll_Defense/?snr=1_7_7_151_150_1,"10 Aug, 2016"
Retro City Rampage™ DX,Rp 115 999,https://store.steampowered.com/app/204630/Retro_City_Rampage_DX/?snr=1_7_7_151_150_1,"11 Nov, 2014"
Skater XL - Tampa Pro 2022 Gear Pack For Charity,Rp 69 999,https://store.steampowered.com/app/1952000/Skater_XL__Tampa_Pro_2022_Gear_Pack_For_Charity/?snr=1_7_7_151_150_1,"26 May, 2022"
大逃亡专家 Escape Expert,Free to Play,https://store.steampowered.com/app/727180/_Escape_Expert/?snr=1_7_7_151_150_1,"3 Dec, 2018"
Peaky Blinders: Mastermind,Rp 119 999,https://store.steampowered.com/app/1013310/Peaky_Blinders_Mastermind/?snr=1_7_7_151_150_2,"21 Aug, 2020"
Lamp Head,Rp 39 999,https://store.steampowered.com/app/603030/Lamp_Head/?snr=1_7_7_151_150_2,"1 Jun, 2017"
ConflictCraft,Rp 28 999,https://store.steampowered.com/app/495570/ConflictCraft/?snr=1_7_7_151_150_2,"9 Dec, 2016"
The Henchmen,,https://store.steampowered.com/app/1431750/The_Henchmen/?snr=1_7_7_151_150_2,To Be Decided
Exotic Cars VI,,https://store.steampowered.com/app/1477380/Exotic_Cars_VI/?snr=1_7_7_151_150_2,Coming soon
Kargo - A neo-noir adventure,,https://store.steampowered.com/app/1546890/Kargo__A_neonoir_adventure/?snr=1_7_7_151_150_2,To be announced
Prison Simulator Prologue,Free,https://store.steampowered.com/app/1431610/Prison_Simulator_Prologue/?snr=1_7_7_151_150_2,"20 May, 2021"
Shop Tycoon: Prepare your wallet,Rp 48 999Rp 4 900,https://store.steampowered.com/app/1392340/Shop_Tycoon_Prepare_your_wallet/?snr=1_7_7_151_150_2,"25 Aug, 2021"
liteCam Game 5:  120 FPS Game Capture + Streamer,Rp 135 999,https://store.steampowered.com/app/428800/liteCam_Game_5__120_FPS_Game_Capture__Streamer/?snr=1_7_7_151_150_2,"19 Dec, 2015"
State of Anarchy,Rp 8 499Rp 4 249,https://store.steampowered.com/app/463210/State_of_Anarchy/?snr=1_7_7_151_150_2,"28 Apr, 2016"
Crash Drive 3,Rp 165 999,https://store.steampowered.com/app/346820/Crash_Drive_3/?snr=1_7_7_151_150_2,"9 Jul, 2021"
CYBER.one: Racing For Souls,,https://store.steampowered.com/app/1002010/CYBERone_Racing_For_Souls/?snr=1_7_7_151_150_2,To be announced
liteCam Game: 100 FPS Game Capture,Rp 115 999,https://store.steampowered.com/app/269290/liteCam_Game_100_FPS_Game_Capture/?snr=1_7_7_151_150_2,"24 Feb, 2014"
Drop Hunt - Adventure Puzzle,Rp 39 999,https://store.steampowered.com/app/596870/Drop_Hunt__Adventure_Puzzle/?snr=1_7_7_151_150_2,"23 Feb, 2017"
Bugs Must Die / 异星特勤队,Rp 82 999,https://store.steampowered.com/app/816720/Bugs_Must_Die/?snr=1_7_7_151_150_2,"6 Apr, 2019"
State of Anarchy: Master of Mayhem,Rp 14 999,https://store.steampowered.com/app/576130/State_of_Anarchy_Master_of_Mayhem/?snr=1_7_7_151_150_2,"1 Apr, 2017"
MechDefender - Tower Defense,Rp 39 999,https://store.steampowered.com/app/562730/MechDefender__Tower_Defense/?snr=1_7_7_151_150_2,"3 Mar, 2020"
Angry Putin,Rp 8 499,https://store.steampowered.com/app/1540060/Angry_Putin/?snr=1_7_7_151_150_2,"8 May, 2022"
X Mushrooms,Rp 11 111,https://store.steampowered.com/app/796620/X_Mushrooms/?snr=1_7_7_151_150_2,"14 Mar, 2018"
Fly Fly Tuk Tuk,Rp 9 699Rp 4 849,https://store.steampowered.com/app/2085510/Fly_Fly_Tuk_Tuk/?snr=1_7_7_151_150_2,"8 Aug, 2022"
